,0
0,1.0019282101908102
1,1.0019275717176481
2,1.001927686806282
3,1.0019278286414157
4,1.0019278440030133
5,1.0019277864032385
6,1.0019277188782112
7,1.0019276635024486
8,1.0019276177501037
9,1.0019275762081354
10,1.001927537486812
11,1.0019275017324272
12,1.0019274678406171
13,1.001927433458469
14,1.001927396304635
15,1.0019273549811756
16,1.0019273089160554
17,1.0019272579729088
18,1.0019272021792007
19,1.0019271416418403
20,1.001927076557207
21,1.0019270072581905
22,1.001926934289887
23,1.0019268584788799
24,1.0019267809301224
25,1.001926702917076
26,1.0019266256893098
27,1.0019265502743817
28,1.0019264773436176
29,1.0019264071756524
30,1.0019263397057425
31,1.0019262746254938
32,1.001926211495686
33,1.0019261498450367
34,1.001926089241712
35,1.0019260293350822
36,1.0019259698734186
37,1.0019259107039662
38,1.0019258517629954
39,1.001925793062005
40,1.0019257346726311
41,1.0019256767113802
42,1.001925619326562
43,1.0019255626861803
44,1.001925506967764
45,1.0019254523502095
46,1.001925399007583
47,1.001925347104265
48,1.0019252967921426
49,1.0019252482085188
50,1.0019252014759765
51,1.0019251567025877
52,1.0019251139832543
53,1.0019250734007819
54,1.001925035028288
55,1.0019249989309742
56,1.0019249651679991
57,1.0019249337942904
58,1.001924904862145
59,1.0019248784222625
60,1.0019248545250752
61,1.0019248332211228
62,1.001924814561406
63,1.0019247985976782
64,1.0019247853822335
65,1.0019247749675784
66,1.0019247674063612
67,1.001924762750442
68,1.0019247610511095
69,1.0019247623580363
70,1.0019247667190354
71,1.0019247741798898
72,1.0019247847833677
73,1.0019247985699269
74,1.0019248155765477
75,1.0019248358371737
76,1.0019248593823893
77,1.001924886239344
78,1.001924916431685
79,1.0019249499795957
80,1.0019249868999422
81,1.0019250272061446
82,1.0019250709080672
83,1.001925118012109
84,1.0019251685215742
85,1.00192522243626
86,1.0019252797524683
87,1.0019253404632174
88,1.0019254045579638
89,1.0019254720229294
90,1.001925542840571
91,1.001925616990076
92,1.001925694446933
93,1.0019257751829425
94,1.0019258591664502
95,1.0019259463618382
96,1.001926036730141
97,1.0019261302283038
98,1.0019262268097366
99,1.0019263264239684
100,1.001926429016664
101,1.0019265345298434
102,1.0019266429016243
103,1.0019267540662673
104,1.0019268679544706
105,1.0019269844930099
106,1.0019271036049318
107,1.0019272252096223
108,1.0019273492226917
109,1.001927475556112
110,1.0019276041182517
111,1.001927734813936
112,1.0019278675444405
113,1.0019280022074888
114,1.001928138697497
115,1.0019282769053033
116,1.001928416718542
117,1.0019285580216302
118,1.0019287006957618
119,1.0019288446188428
120,1.00192898966615
121,1.001929135709535
122,1.001929282618238
123,1.001929430258524
124,1.001929578494198
125,1.0019297271862124
126,1.0019298761932705
127,1.0019300253712717
128,1.00193017457432
129,1.0019303236538903
130,1.0019304724597045
131,1.0019306208394343
132,1.0019307686388121
133,1.0019309157020384
134,1.001931061871746
135,1.0019312069889947
136,1.0019313508936332
137,1.0019314934243382
138,1.001931634418879
139,1.00193177371398
140,1.0019319111458846
141,1.0019320465500738
142,1.0019321797616325
143,1.0019323106155629
144,1.0019324389466677
145,1.0019325645898207
146,1.0019326873802057
147,1.0019328071533686
148,1.0019329237455032
149,1.001933036993485
150,1.0019331467351555
151,1.0019332528094926
152,1.0019333550567038
153,1.0019334533185325
154,1.0019335474383284
155,1.0019336372611913
156,1.0019337226342835
157,1.0019338034070626
158,1.0019338794311787
159,1.0019339505609464
160,1.0019340166532624
161,1.001934077568229
162,1.0019341331688922
163,1.0019341833214321
164,1.001934227895619
165,1.0019342667650515
166,1.0019342998069418
167,1.0019343269024132
168,1.0019343479370697
169,1.0019343628007322
170,1.00193437138768
171,1.001934373597011
172,1.0019343693326486
173,1.0019343585034945
174,1.0019343410238422
175,1.001934316813266
176,1.001934285796717
177,1.0019342479051916
178,1.0019342030751512
179,1.0019341512492907
180,1.001934092376306
181,1.0019340264112915
182,1.0019339533157325
183,1.001933873057549
184,1.001933785611349
185,1.001933690958853
186,1.0019335890881464
187,1.0019334799950108
188,1.0019333636818033
189,1.0019332401584586
190,1.0019331094420418
191,1.0019329715572405
192,1.0019328265360232
193,1.0019326744183155
194,1.0019325152513865
195,1.0019323490904015
196,1.0019321759982245
197,1.001931996045698
198,1.001931809311486
199,1.0019316158820017
200,1.00193141585203
201,1.0019312093239436
202,1.0019309964083525
203,1.0019307772238226
204,1.0019305518967452
205,1.0019303205618126
206,1.0019300833614522
207,1.0019298404462613
208,1.0019295919744458
209,1.0019293381124919
210,1.0019290790344317
211,1.0019288149221912
212,1.0019285459652656
213,1.00192827236101
214,1.0019279943141377
215,1.0019277120370313
216,1.0019274257491773
217,1.0019271356773571
218,1.0019268420555572
219,1.0019265451247417
220,1.001926245132832
221,1.0019259423342812
222,1.0019256369900804
223,1.0019253293676877
224,1.0019250197409508
225,1.0019247083895462
226,1.0019243955990305
227,1.0019240816605273
228,1.0019237668708976
229,1.0019234515319506
230,1.0019231359505556
231,1.0019228204383597
232,1.00192250531177
233,1.0019221908910418
234,1.0019218775008258
235,1.00192156546924
236,1.0019212551282077
237,1.001920946812615
238,1.0019206408604036
239,1.0019203376121038
