,0
0,1.0019313242026107
1,1.0019282101908102
2,1.0019275717176481
3,1.001927686806282
4,1.0019278286414157
5,1.0019278440030133
6,1.0019277864032385
7,1.0019277188782112
8,1.0019276635024486
9,1.0019276177501037
10,1.0019275762081354
11,1.001927537486812
12,1.0019275017324272
13,1.0019274678406171
14,1.001927433458469
15,1.001927396304635
16,1.0019273549811756
17,1.0019273089160554
18,1.0019272579729088
19,1.0019272021792007
20,1.0019271416418403
21,1.001927076557207
22,1.0019270072581905
23,1.001926934289887
24,1.0019268584788799
25,1.0019267809301224
26,1.001926702917076
27,1.0019266256893098
28,1.0019265502743817
29,1.0019264773436176
30,1.0019264071756524
31,1.0019263397057425
32,1.0019262746254938
33,1.001926211495686
34,1.0019261498450367
35,1.001926089241712
36,1.0019260293350822
37,1.0019259698734186
38,1.0019259107039662
39,1.0019258517629954
40,1.001925793062005
41,1.0019257346726311
42,1.0019256767113802
43,1.001925619326562
44,1.0019255626861803
45,1.001925506967764
46,1.0019254523502095
47,1.001925399007583
48,1.001925347104265
49,1.0019252967921426
50,1.0019252482085188
51,1.0019252014759765
52,1.0019251567025877
53,1.0019251139832543
54,1.0019250734007819
55,1.001925035028288
56,1.0019249989309742
57,1.0019249651679991
58,1.0019249337942904
59,1.001924904862145
60,1.0019248784222625
61,1.0019248545250752
62,1.0019248332211228
63,1.001924814561406
64,1.0019247985976782
65,1.0019247853822335
66,1.0019247749675784
67,1.0019247674063612
68,1.001924762750442
69,1.0019247610511095
70,1.0019247623580363
71,1.0019247667190354
72,1.0019247741798898
73,1.0019247847833677
74,1.0019247985699269
75,1.0019248155765477
76,1.0019248358371737
77,1.0019248593823893
78,1.001924886239344
79,1.001924916431685
80,1.0019249499795957
81,1.0019249868999422
82,1.0019250272061446
83,1.0019250709080672
84,1.001925118012109
85,1.0019251685215742
86,1.00192522243626
87,1.0019252797524683
88,1.0019253404632174
89,1.0019254045579638
90,1.0019254720229294
91,1.001925542840571
92,1.001925616990076
93,1.001925694446933
94,1.0019257751829425
95,1.0019258591664502
96,1.0019259463618382
97,1.001926036730141
98,1.0019261302283038
99,1.0019262268097366
100,1.0019263264239684
101,1.001926429016664
102,1.0019265345298434
103,1.0019266429016243
104,1.0019267540662673
105,1.0019268679544706
106,1.0019269844930099
107,1.0019271036049318
108,1.0019272252096223
109,1.0019273492226917
110,1.001927475556112
111,1.0019276041182517
112,1.001927734813936
113,1.0019278675444405
114,1.0019280022074888
115,1.001928138697497
116,1.0019282769053033
117,1.001928416718542
118,1.0019285580216302
119,1.0019287006957618
120,1.0019288446188428
121,1.00192898966615
122,1.001929135709535
123,1.001929282618238
124,1.001929430258524
125,1.001929578494198
126,1.0019297271862124
127,1.0019298761932705
128,1.0019300253712717
129,1.00193017457432
130,1.0019303236538903
131,1.0019304724597045
132,1.0019306208394343
133,1.0019307686388121
134,1.0019309157020384
135,1.001931061871746
136,1.0019312069889947
137,1.0019313508936332
138,1.0019314934243382
139,1.001931634418879
140,1.00193177371398
141,1.0019319111458846
142,1.0019320465500738
143,1.0019321797616325
144,1.0019323106155629
145,1.0019324389466677
146,1.0019325645898207
147,1.0019326873802057
148,1.0019328071533686
149,1.0019329237455032
150,1.001933036993485
151,1.0019331467351555
152,1.0019332528094926
153,1.0019333550567038
154,1.0019334533185325
155,1.0019335474383284
156,1.0019336372611913
157,1.0019337226342835
158,1.0019338034070626
159,1.0019338794311787
160,1.0019339505609464
161,1.0019340166532624
162,1.001934077568229
163,1.0019341331688922
164,1.0019341833214321
165,1.001934227895619
166,1.0019342667650515
167,1.0019342998069418
168,1.0019343269024132
169,1.0019343479370697
170,1.0019343628007322
171,1.00193437138768
172,1.001934373597011
173,1.0019343693326486
174,1.0019343585034945
175,1.0019343410238422
176,1.001934316813266
177,1.001934285796717
178,1.0019342479051916
179,1.0019342030751512
180,1.0019341512492907
181,1.001934092376306
182,1.0019340264112915
183,1.0019339533157325
184,1.001933873057549
185,1.001933785611349
186,1.001933690958853
187,1.0019335890881464
188,1.0019334799950108
189,1.0019333636818033
190,1.0019332401584586
191,1.0019331094420418
192,1.0019329715572405
193,1.0019328265360232
194,1.0019326744183155
195,1.0019325152513865
196,1.0019323490904015
197,1.0019321759982245
198,1.001931996045698
199,1.001931809311486
200,1.0019316158820017
201,1.00193141585203
202,1.0019312093239436
203,1.0019309964083525
204,1.0019307772238226
205,1.0019305518967452
206,1.0019303205618126
207,1.0019300833614522
208,1.0019298404462613
209,1.0019295919744458
210,1.0019293381124919
211,1.0019290790344317
212,1.0019288149221912
213,1.0019285459652656
214,1.00192827236101
215,1.0019279943141377
216,1.0019277120370313
217,1.0019274257491773
218,1.0019271356773571
219,1.0019268420555572
220,1.0019265451247417
221,1.001926245132832
222,1.0019259423342812
223,1.0019256369900804
224,1.0019253293676877
225,1.0019250197409508
226,1.0019247083895462
227,1.0019243955990305
228,1.0019240816605273
229,1.0019237668708976
230,1.0019234515319506
231,1.0019231359505556
232,1.0019228204383597
233,1.00192250531177
234,1.0019221908910418
235,1.0019218775008258
236,1.00192156546924
237,1.0019212551282077
238,1.001920946812615
239,1.0019206408604036
240,1.0019203376121038
241,1.0019200374104176
242,1.001919740600286
243,1.0019194475283755
244,1.0019191585426055
245,1.0019188739919327
246,1.0019185942261397
247,1.001918319595354
248,1.0019180504498029
249,1.0019177871392249
250,1.0019175300130518
251,1.0019172794192803
252,1.001917035704776
253,1.0019167992147862
254,1.0019165702921036
255,1.0019163492772605
256,1.0019161365078384
257,1.0019159323183076
